timestamp,ax,ay,az,gx,gy,gz,label
168140,-0.04,1.03,0.07,21.06,-9.19,-23.79,1
168150,-0.03,1.03,0.07,21.02,-8.12,-21.30,1
168160,-0.03,1.05,0.05,20.85,-6.05,-20.15,1
168170,-0.04,1.06,0.04,20.50,-5.25,-20.08,1
168180,-0.04,1.04,0.05,19.78,-5.37,-19.76,1
168190,-0.04,1.04,0.05,19.36,-4.58,-19.03,1
168200,-0.04,1.04,0.04,19.02,-3.37,-18.53,1
168210,-0.04,1.04,0.04,18.66,-1.87,-18.36,1
168220,-0.04,1.05,0.03,17.93,0.08,-18.11,1
168230,-0.05,1.06,0.01,16.68,1.38,-17.82,1
168240,-0.06,1.06,0.01,15.20,1.33,-17.44,1
168250,-0.06,1.04,0.02,13.76,0.34,-16.64,1
168260,-0.06,1.04,0.02,12.98,-0.80,-15.48,1
168270,-0.05,1.04,0.02,12.69,-1.64,-15.11,1
168280,-0.06,1.05,0.01,12.69,-2.76,-15.31,1
168290,-0.06,1.05,0.01,12.76,-4.08,-15.56,1
168300,-0.06,1.03,0.02,13.05,-5.42,-15.99,1
168310,-0.07,1.03,0.02,13.31,-6.38,-16.04,1
168320,-0.06,1.03,0.02,13.85,-7.14,-15.74,1
168330,-0.06,1.04,0.02,14.18,-7.72,-16.27,1
168340,-0.06,1.04,0.01,14.04,-7.89,-17.29,1
168350,-0.07,1.05,0.00,13.48,-7.31,-18.35,1
168360,-0.07,1.05,0.00,12.33,-6.60,-19.63,1
168370,-0.08,1.05,-0.00,10.99,-5.85,-20.44,1
168380,-0.07,1.05,-0.00,9.55,-5.27,-21.31,1
168390,-0.07,1.04,0.00,8.21,-4.66,-22.79,1
168400,-0.08,1.05,-0.00,7.26,-3.70,-24.28,1
168410,-0.09,1.04,-0.01,5.91,-3.24,-25.17,1
168420,-0.10,1.04,-0.01,4.80,-3.37,-25.47,1
168430,-0.09,1.04,-0.01,4.08,-3.85,-24.90,1
168440,-0.09,1.04,-0.01,3.60,-4.65,-24.50,1
168450,-0.10,1.03,-0.00,3.10,-4.41,-24.54,1
168460,-0.11,1.03,-0.00,2.68,-4.44,-23.85,1
168470,-0.11,1.03,-0.00,2.34,-5.05,-22.94,1
168480,-0.11,1.02,0.00,2.50,-5.48,-22.37,1
168490,-0.11,1.03,0.00,2.64,-5.38,-21.97,1
168500,-0.11,1.02,-0.00,2.73,-5.19,-21.63,1
168510,-0.12,1.02,-0.00,2.66,-5.14,-21.15,1
168520,-0.12,1.02,-0.00,2.45,-5.44,-20.45,1
168530,-0.12,1.03,-0.01,2.24,-5.47,-20.05,1
168540,-0.13,1.02,-0.00,1.96,-5.56,-19.61,1
168550,-0.13,1.02,-0.00,1.69,-6.04,-19.11,1
168560,-0.13,1.02,-0.00,1.63,-6.36,-18.93,1
168570,-0.13,1.03,-0.01,1.65,-7.03,-18.49,1
168580,-0.12,1.03,-0.01,1.51,-7.56,-18.66,1
168590,-0.13,1.03,-0.01,1.44,-7.49,-19.32,1
168600,-0.14,1.03,-0.02,1.19,-7.44,-19.50,1
168610,-0.14,1.03,-0.01,0.46,-7.36,-19.64,1
168620,-0.14,1.03,-0.02,-0.24,-7.53,-19.95,1
168630,-0.14,1.04,-0.02,-0.53,-7.39,-21.20,1
168640,-0.13,1.03,-0.01,-0.78,-7.14,-22.75,1
168650,-0.14,1.03,-0.01,-1.19,-6.77,-24.25,1
168660,-0.14,1.03,-0.01,-1.94,-5.94,-25.21,1
168670,-0.15,1.03,-0.01,-2.66,-5.42,-25.95,1
168680,-0.15,1.04,-0.02,-3.49,-5.20,-27.26,1
168690,-0.15,1.04,-0.03,-4.27,-5.18,-29.15,1
168700,-0.17,1.03,-0.02,-5.31,-5.02,-30.70,1
168710,-0.17,1.03,-0.02,-5.87,-5.43,-31.18,1
168720,-0.16,1.03,-0.01,-6.04,-5.90,-31.78,1
168730,-0.16,1.02,-0.00,-6.26,-5.86,-33.47,1
168740,-0.17,1.03,-0.00,-6.59,-5.20,-35.66,1
168750,-0.17,1.02,0.01,-7.62,-3.73,-37.82,1
168760,-0.19,1.02,0.01,-9.73,-2.10,-40.03,1
168770,-0.20,1.03,-0.01,-11.76,-0.21,-41.87,1
168780,-0.19,1.03,-0.00,-13.55,0.60,-43.11,1
168790,-0.19,1.03,0.02,-16.03,2.34,-45.94,1
168800,-0.22,1.02,0.03,-19.34,5.45,-50.21,1
168810,-0.23,1.04,-0.02,-22.51,7.63,-54.22,1
168820,-0.22,1.04,-0.01,-25.09,7.66,-57.24,1
168830,-0.27,0.98,0.03,-29.29,6.85,-61.17,1
168840,-0.27,1.00,0.02,-32.76,7.69,-63.85,1
168850,-0.26,1.00,0.02,-34.93,7.70,-64.10,1
168860,-0.28,0.98,0.05,-37.40,8.25,-66.27,1
168870,-0.31,0.96,0.06,-40.11,9.31,-68.22,1
168880,-0.31,0.97,0.04,-42.50,9.38,-68.22,1
168890,-0.32,0.97,0.05,-44.55,8.67,-68.97,1
168900,-0.33,0.97,0.04,-46.24,7.98,-69.65,1
168910,-0.34,0.98,0.05,-47.17,7.02,-68.89,1
168920,-0.35,0.96,0.07,-48.36,7.00,-67.56,1
168930,-0.38,0.95,0.06,-50.68,7.12,-68.46,1
168940,-0.38,0.99,0.06,-51.79,5.60,-68.51,1
168950,-0.38,0.96,0.07,-51.94,4.20,-67.18,1
168960,-0.42,0.95,0.08,-53.40,2.37,-68.09,1
168970,-0.41,0.98,0.09,-55.24,1.78,-68.55,1
168980,-0.40,0.98,0.12,-57.78,2.18,-67.89,1
168990,-0.44,0.98,0.14,-62.29,4.02,-67.21,1
169000,-0.45,0.99,0.15,-67.95,4.90,-64.69,1
169010,-0.47,0.96,0.15,-75.08,4.51,-62.09,1
169020,-0.56,1.07,0.15,-83.09,1.78,-60.31,1
169030,-0.60,1.13,0.24,-90.63,-1.87,-59.47,1
169040,-0.40,1.00,0.43,-98.83,-2.66,-58.12,1
169050,-0.31,0.97,0.50,-107.76,1.70,-51.75,1
