timestamp,ax,ay,az,gx,gy,gz,label
209100,0.43,0.94,-0.30,5.88,-0.65,12.93,1
209110,0.43,0.94,-0.30,4.62,-0.78,10.43,1
209120,0.44,0.93,-0.29,4.73,-0.49,10.67,1
209130,0.43,0.93,-0.30,4.98,-0.08,11.26,1
209140,0.43,0.93,-0.30,5.34,-0.20,12.23,1
209150,0.43,0.93,-0.30,5.60,-0.54,12.49,1
209160,0.44,0.93,-0.30,5.92,-0.60,13.15,1
209170,0.44,0.93,-0.30,5.53,-0.55,12.48,1
209180,0.43,0.93,-0.30,5.11,-0.52,12.18,1
209190,0.43,0.93,-0.30,7.18,-0.63,15.95,1
209200,0.43,0.93,-0.29,6.56,-0.69,15.11,1
209210,0.43,0.93,-0.29,7.57,-0.79,16.39,1
209220,0.43,0.94,-0.29,6.50,-0.61,14.31,1
209230,0.43,0.93,-0.30,5.16,-0.40,12.55,1
209240,0.43,0.93,-0.30,5.61,-0.75,13.53,1
209250,0.44,0.93,-0.30,6.31,-0.69,14.76,1
209260,0.43,0.93,-0.30,6.42,-0.83,14.66,1
209270,0.44,0.93,-0.30,6.08,-0.48,13.82,1
209280,0.43,0.93,-0.30,6.67,-0.57,14.69,1
209290,0.43,0.93,-0.30,7.67,-0.82,16.80,1
209300,0.44,0.94,-0.30,6.27,-0.65,13.87,1
209310,0.44,0.94,-0.30,5.42,-0.69,11.69,1
209320,0.43,0.94,-0.30,6.40,-0.72,13.86,1
209330,0.43,0.93,-0.30,5.05,-0.52,11.84,1
209340,0.43,0.93,-0.30,4.41,-0.72,9.64,1
209350,0.44,0.93,-0.30,6.45,-1.04,13.01,1
209360,0.44,0.93,-0.30,7.02,-0.45,15.78,1
209370,0.44,0.93,-0.30,4.99,-0.24,12.45,1
209380,0.44,0.93,-0.30,5.40,-0.34,12.75,1
209390,0.44,0.93,-0.30,5.60,-0.21,12.82,1
209400,0.43,0.93,-0.30,5.13,-0.31,12.23,1
209410,0.44,0.93,-0.30,5.85,-0.26,13.94,1
209420,0.44,0.93,-0.30,5.23,-0.24,13.14,1
209430,0.44,0.93,-0.31,4.53,-0.29,10.94,1
209440,0.43,0.93,-0.30,4.23,-0.46,10.39,1
209450,0.44,0.93,-0.30,3.40,0.02,9.46,1
209460,0.44,0.93,-0.30,4.66,-0.53,10.40,1
209470,0.43,0.93,-0.30,5.79,-0.54,12.61,1
209480,0.43,0.93,-0.30,6.97,-0.58,15.06,1
209490,0.43,0.93,-0.30,7.04,-0.53,14.78,1
209500,0.43,0.93,-0.30,7.40,-0.24,15.45,1
209510,0.43,0.93,-0.30,7.05,-0.50,14.88,1
209520,0.43,0.93,-0.30,7.71,-0.47,15.82,1
209530,0.44,0.94,-0.30,7.44,-0.32,15.70,1
209540,0.43,0.94,-0.30,7.46,-0.34,15.49,1
209550,0.43,0.93,-0.29,9.11,-0.92,18.05,1
209560,0.44,0.93,-0.30,9.38,-1.18,18.40,1
209570,0.43,0.93,-0.30,9.69,-1.45,18.43,1
209580,0.43,0.93,-0.30,7.40,-1.30,14.94,1
209590,0.44,0.93,-0.30,6.34,-0.89,12.82,1
209600,0.44,0.93,-0.30,5.76,-0.53,12.61,1
209610,0.43,0.93,-0.30,5.82,-0.85,12.06,1
209620,0.44,0.93,-0.30,6.50,-1.29,12.55,1
209630,0.44,0.93,-0.30,7.08,-1.05,13.40,1
209640,0.44,0.92,-0.30,6.10,-0.93,12.28,1
209650,0.44,0.92,-0.30,5.21,-1.04,10.12,1
209660,0.44,0.93,-0.30,5.57,-1.06,10.91,1
209670,0.43,0.93,-0.30,5.81,-1.12,12.33,1
209680,0.43,0.93,-0.30,5.99,-0.69,13.72,1
209690,0.43,0.93,-0.30,7.24,-0.56,16.22,1
209700,0.43,0.94,-0.30,8.34,-0.90,17.59,1
209710,0.43,0.93,-0.30,5.87,-0.63,12.87,1
209720,0.43,0.94,-0.30,5.44,-0.66,11.94,1
209730,0.43,0.94,-0.30,6.25,-0.72,13.18,1
209740,0.44,0.94,-0.30,5.21,-0.35,11.56,1
209750,0.44,0.93,-0.30,5.59,-0.63,12.06,1
209760,0.43,0.93,-0.30,6.51,-0.87,14.03,1
209770,0.44,0.93,-0.30,5.89,-0.53,14.04,1
209780,0.44,0.93,-0.31,6.92,-0.29,15.94,1
