timestamp,ax,ay,az,gx,gy,gz,label
0.31,1.00,-0.18,1.72,-2.37,12.31,1
3890,0.29,0.99,-0.20,1.33,-2.39,12.31,1
3900,0.28,0.99,-0.20,3.11,-1.92,12.31,1
3910,0.28,0.99,-0.19,4.09,-1.77,12.31,1
3920,0.28,1.00,-0.18,1.76,-2.08,12.31,1
3930,0.25,1.00,-0.17,1.93,-2.28,12.31,1
3940,0.23,0.99,-0.16,0.49,-2.43,12.31,1
3950,0.22,0.99,-0.15,-0.35,-2.24,12.31,1
3960,0.23,0.99,-0.14,0.61,-1.80,12.31,1
3970,0.23,0.99,-0.14,1.51,-1.51,12.31,1
3980,0.24,0.98,-0.12,1.10,-1.17,12.31,1
3990,0.26,0.98,-0.12,1.06,-1.23,12.31,1
4000,0.28,0.99,-0.10,1.75,-1.98,12.31,1
4010,0.30,1.00,-0.10,0.84,-2.08,12.31,1
4020,0.29,1.02,-0.15,1.00,-1.54,12.31,1
4030,0.26,1.05,-0.17,0.77,-1.92,12.31,1
4040,0.22,1.09,-0.21,2.28,-2.00,12.31,1
4050,0.20,1.14,-0.24,2.38,-1.85,12.31,1
4060,0.20,1.20,-0.29,1.32,-1.83,12.31,1
4070,0.19,1.27,-0.32,2.67,-1.52,9.89,1
4080,0.15,1.34,-0.30,5.07,-1.46,10.72,1
4090,0.15,1.52,-0.18,3.88,-1.40,9.61,1
4100,0.19,1.51,0.10,3.46,-1.52,11.23,1
4110,-0.30,1.22,-0.33,3.24,-1.34,4.11,1
4120,-0.05,1.15,-0.29,3.77,-1.40,12.31,1
4130,0.29,1.16,-0.28,2.87,-1.93,12.31,1
4140,0.06,1.22,-0.20,3.97,-1.91,12.17,1
4150,0.09,1.24,-0.23,3.65,-1.54,12.30,1
4160,0.11,1.21,-0.26,2.90,-1.23,12.31,1
4170,0.11,1.14,-0.26,3.72,-1.26,12.31,1
4180,0.16,1.06,-0.29,4.49,-1.05,9.45,1
4190,0.17,1.00,-0.27,3.32,-2.27,12.12,1
4200,0.17,0.95,-0.26,1.29,-2.30,12.31,1
4210,0.18,0.92,-0.22,1.29,-2.17,12.27,1
4220,0.15,0.88,-0.20,1.44,-2.12,12.30,1
4230,0.17,0.83,-0.19,3.22,-2.00,12.31,1
4240,0.44,0.81,-0.17,1.55,-2.02,12.31,1
4250,0.62,0.78,-0.13,2.45,-1.79,12.31,1
4260,0.50,0.74,-0.07,3.22,-1.50,12.31,1
4270,0.36,0.76,-0.03,2.87,-1.94,12.31,1
4280,0.34,0.82,-0.02,1.64,-1.87,12.31,1
4290,0.32,0.84,-0.02,0.59,-1.81,12.31,1
4300,0.27,0.82,0.01,2.79,-1.54,12.31,1
4310,0.23,0.82,0.01,1.66,-2.02,12.31,1
4320,0.19,0.85,-0.00,0.71,-1.99,12.31,1
4330,0.19,0.89,-0.02,-2.18,-1.79,12.31,1
4340,0.19,0.92,-0.02,-1.86,-1.88,12.31,1
4350,0.18,0.94,-0.02,-0.78,-1.95,12.31,1
4360,0.17,0.95,-0.04,-0.39,-1.63,12.31,1
4370,0.16,0.97,-0.06,-0.17,-1.36,12.31,1
4380,0.17,0.99,-0.08,0.90,-1.14,12.31,1
4390,0.16,1.01,-0.10,-0.16,-0.92,12.31,1
4400,0.17,1.03,-0.13,-0.57,-1.20,12.31,1
4410,0.17,1.05,-0.12,-0.90,-0.98,12.31,1
4420,0.18,1.07,-0.11,-1.79,-0.87,12.31,1
4430,0.17,1.09,-0.11,-0.79,-1.20,12.31,1
4440,0.16,1.11,-0.13,0.05,-1.30,12.31,1
4450,0.15,1.13,-0.15,0.22,-1.31,12.31,1
4460,0.16,1.15,-0.14,0.54,-1.24,12.31,1
4470,0.17,1.16,-0.13,1.16,-1.22,12.31,1
4480,0.18,1.18,-0.10,-0.36,-1.51,12.31,1
4490,0.19,1.20,-0.09,0.13,-1.26,12.31,1
4500,0.15,1.20,-0.11,1.77,-1.22,12.31,1
4510,0.07,1.21,-0.15,-0.30,-1.69,12.31,1
4520,0.09,1.23,-0.13,0.82,-1.31,12.31,1
4530,0.11,1.24,-0.11,3.48,-1.03,12.31,1
4540,0.01,1.25,-0.05,2.96,-1.33,12.31,1
4550,-0.17,1.28,-0.08,-0.58,-1.44,12.31,1
4560,-0.23,1.27,-0.12,-0.27,-1.13,12.31,1
4570,-0.21,1.24,-0.16,1.00,-1.17,12.31,1
4580,-0.22,1.22,-0.25,1.02,-0.93,12.31,1
