timestamp,ax,ay,az,gx,gy,gz,label
0,-0.05,1.07,-0.07,-7.44,1.16,-8.06,1
10,-0.08,1.06,-0.07,-6.48,0.83,-6.99,1
20,-0.04,1.04,-0.05,-7.02,1.54,-2.61,1
30,0.03,1.02,-0.07,-7.79,2.91,3.71,1
40,0.05,1.02,-0.08,-7.53,2.50,1.22,1
50,0.03,1.04,-0.07,-7.45,1.79,-4.04,1
60,0.04,1.06,-0.06,-6.82,1.76,-1.20,1
70,0.05,1.07,0.01,-6.52,1.54,-7.66,1
80,-0.01,1.07,0.06,-6.34,1.31,-6.55,1
90,0.00,1.07,0.00,-7.63,2.17,-3.90,1
100,0.04,1.12,-0.02,-7.93,1.93,-5.23,1
110,0.06,1.20,-0.05,-7.47,2.05,-4.23,1
120,0.09,1.31,-0.08,-7.45,2.12,-8.70,1
130,0.13,1.43,-0.14,-6.27,0.98,-7.26,1
140,0.20,1.55,-0.25,-6.47,0.47,-3.26,1
150,0.25,1.65,-0.34,-6.39,0.89,-3.89,1
160,0.31,1.76,-0.29,-5.26,0.75,-1.73,1
170,0.07,1.70,-0.30,-5.07,-0.56,3.30,1
180,0.31,1.55,-0.63,-5.52,-0.53,2.54,1
190,0.15,1.75,-0.66,-5.25,-0.17,-6.77,1
200,0.32,1.64,-0.64,-4.28,-0.88,3.18,1
210,0.31,1.41,-0.46,-4.34,0.02,2.94,1
220,0.20,1.27,-0.38,-3.98,-0.54,-3.50,1
230,0.13,1.28,-0.24,-3.02,-1.43,0.85,1
240,0.11,1.23,-0.10,-2.45,-1.45,2.09,1
250,0.20,1.12,0.10,-2.44,-0.82,-5.77,1
260,0.37,1.01,0.22,-2.29,-0.14,-3.77,1
270,0.40,0.95,0.13,-2.60,0.49,-1.77,1
280,0.06,1.00,0.05,-2.89,0.25,-0.14,1
290,-0.75,1.08,0.05,-2.44,0.94,2.27,1
300,-1.16,0.86,-0.16,-3.75,1.51,-3.92,1
310,-0.74,0.41,-0.30,-3.82,0.47,-3.67,1
320,-0.34,0.21,-0.05,-3.84,0.40,-6.80,1
330,-0.28,0.26,-0.09,-4.80,0.86,3.01,1
340,-0.44,0.42,-0.15,-3.65,0.97,3.35,1
350,-0.43,0.57,-0.09,-4.06,1.17,3.04,1
360,-0.26,0.66,-0.10,-4.05,1.63,2.39,1
370,-0.16,0.66,-0.12,-4.54,2.05,-1.40,1
380,-0.16,0.64,-0.12,-4.71,2.08,-1.46,1
390,-0.19,0.66,-0.15,-3.31,1.50,2.92,1
400,-0.16,0.72,-0.20,-3.97,1.60,3.24,1
410,-0.07,0.76,-0.23,-2.17,1.78,2.16,1
420,0.00,0.81,-0.25,-0.93,2.06,2.47,1
430,0.03,0.89,-0.26,-1.12,2.34,2.59,1
440,0.07,0.94,-0.26,-1.38,2.07,-2.70,1
450,0.16,1.01,-0.24,-3.08,2.68,-13.08,1
460,0.29,1.10,-0.25,-4.10,2.60,-9.07,1
470,0.39,1.20,-0.28,-5.22,2.86,-6.11,1
480,0.44,1.29,-0.33,-4.02,2.34,-2.48,1
490,0.52,1.33,-0.37,-4.57,2.27,3.21,1
500,0.58,1.34,-0.40,-4.94,2.72,-3.51,1
510,0.62,1.36,-0.46,-3.71,2.99,-8.13,1
520,0.64,1.37,-0.50,-3.85,2.95,-13.22,1
530,0.66,1.34,-0.54,-5.48,3.02,-11.09,1
540,0.72,1.31,-0.57,-4.22,3.06,-9.38,1
550,0.82,1.29,-0.58,-4.10,3.33,-13.39,1
560,0.83,1.25,-0.54,-4.12,3.82,-13.34,1
570,0.81,1.18,-0.47,-2.56,3.56,-12.53,1
580,0.81,1.23,-0.27,-1.70,3.66,-13.76,1
