timestamp,ax,ay,az,gx,gy,gz,label
4160,0.06,0.98,-0.25,-4.68,-0.49,-8.84,1
4170,0.07,0.99,-0.24,-5.62,-0.58,-11.50,1
4180,0.09,1.00,-0.24,-3.11,0.04,-7.94,1
4190,0.11,1.01,-0.24,-4.93,-0.56,-9.78,1
4200,0.13,1.02,-0.23,-6.28,-0.95,-11.24,1
4210,0.13,1.03,-0.23,-6.79,-0.67,-12.04,1
4220,0.15,1.03,-0.23,-7.89,-0.15,-14.93,1
4230,0.15,1.03,-0.22,-5.89,-0.45,-12.89,1
4240,0.16,1.02,-0.22,-5.68,-0.51,-12.98,1
4250,0.16,1.02,-0.22,-5.52,-0.25,-13.01,1
4260,0.16,1.03,-0.21,-3.11,0.20,-8.91,1
4270,0.16,1.04,-0.21,-2.89,0.47,-8.50,1
4280,0.18,1.06,-0.21,-6.11,-0.20,-13.82,1
4290,0.18,1.06,-0.20,-6.08,-0.38,-14.13,1
4300,0.18,1.07,-0.19,-4.80,0.54,-12.01,1
4310,0.18,1.07,-0.19,-5.66,0.04,-13.04,1
4320,0.17,1.06,-0.19,-6.04,-0.68,-13.34,1
4330,0.17,1.04,-0.17,-6.52,-0.71,-14.24,1
4340,0.19,1.02,-0.16,-4.20,0.39,-10.01,1
4350,0.21,1.01,-0.14,-4.61,0.36,-10.64,1
4360,0.21,1.02,-0.13,-5.96,-0.48,-12.82,1
4370,0.21,1.02,-0.12,-3.76,1.08,-9.79,1
4380,0.22,1.01,-0.10,-2.43,1.36,-7.23,1
4390,0.22,1.00,-0.09,-1.49,1.26,-4.29,1
4400,0.21,1.00,-0.08,-1.23,1.18,-3.69,1
4410,0.20,0.98,-0.06,-0.02,0.72,-1.41,1
4420,0.18,0.97,-0.04,0.37,0.23,-0.35,1
4430,0.16,0.97,-0.02,-0.47,0.44,-2.98,1
4440,0.17,0.98,-0.01,0.87,-0.70,0.86,1
4450,0.15,1.05,0.00,1.52,-0.21,1.86,1
4460,0.13,1.07,-0.00,1.66,0.91,0.70,1
4470,0.12,1.05,-0.01,1.01,0.90,-0.55,1
4480,0.12,1.00,-0.03,1.75,-1.71,4.90,1
4490,0.12,0.98,-0.05,2.49,-2.94,8.54,1
4500,0.13,0.96,-0.07,1.60,-2.37,6.48,1
4510,0.15,0.97,-0.09,-0.95,-0.25,-0.91,1
4520,0.19,0.98,-0.10,-0.76,-0.99,0.41,1
4530,0.21,0.98,-0.11,0.63,-2.06,3.88,1
4540,0.23,0.98,-0.12,0.10,-1.66,2.14,1
4550,0.24,0.96,-0.14,0.38,-1.08,2.55,1
4560,0.25,0.92,-0.16,0.71,-0.32,1.60,1
4570,0.24,0.88,-0.21,2.61,-1.17,6.06,1
4580,0.25,0.84,-0.30,1.69,0.36,2.44,1
4590,0.41,0.79,-0.45,0.08,0.82,-0.76,1
4600,0.62,0.86,-0.54,0.62,0.62,0.38,1
4610,0.46,1.06,-0.36,2.18,0.60,2.99,1
4620,0.43,1.15,-0.05,2.32,0.45,3.16,1
4630,0.63,1.25,0.21,1.65,0.65,1.59,1
4640,0.40,1.46,0.23,1.51,0.70,1.82,1
4650,0.01,1.53,0.08,1.75,1.13,2.11,1
4660,-0.02,1.30,-0.03,-0.36,1.57,-2.91,1
4670,0.07,0.96,-0.04,-0.11,1.06,-1.42,1
4680,0.07,0.76,0.01,1.04,0.88,0.84,1
4690,0.13,0.76,0.03,-1.01,0.97,-4.03,1
4700,0.21,0.88,-0.00,2.18,-0.89,4.68,1
4710,0.32,1.00,-0.05,6.24,-2.96,15.39,1
4720,0.39,1.05,-0.10,6.43,-3.31,15.98,1
4730,0.38,1.08,-0.11,7.90,-4.24,19.62,1
4740,0.32,1.08,-0.11,7.53,-3.53,18.41,1
4750,0.25,1.06,-0.11,7.14,-3.78,17.87,1
4760,0.24,1.02,-0.12,8.00,-4.23,19.66,1
4770,0.25,1.01,-0.11,9.01,-4.33,22.10,1
4780,0.25,1.01,-0.11,8.65,-3.74,20.90,1
4790,0.29,1.01,-0.11,6.34,-2.45,15.71,1
4800,0.35,1.00,-0.10,6.87,-2.37,15.90,1
