timestamp,ax,ay,az,gx,gy,gz,label
113,0.02,1.03,-0.17,-1.10,-3.49,-5.49,0
116,0.02,1.03,-0.17,-1.10,-3.49,-5.49,0
119,0.02,1.03,-0.17,-1.10,-3.49,-5.49,0
121,0.02,1.03,-0.16,-0.82,-3.24,-5.53,0
124,0.02,1.03,-0.16,-0.82,-3.24,-5.53,0
127,0.02,1.03,-0.16,-0.82,-3.24,-5.53,0
130,0.02,1.03,-0.16,-0.82,-3.24,-5.53,0
143,0.03,1.04,-0.16,-0.82,-2.67,-6.20,0
145,0.03,1.04,-0.16,-0.82,-2.67,-6.20,0
148,0.03,1.04,-0.16,-0.82,-2.67,-6.20,0
151,0.03,1.04,-0.16,-0.98,-2.71,-6.53,0
154,0.03,1.04,-0.16,-0.98,-2.71,-6.53,0
157,0.03,1.04,-0.16,-0.98,-2.71,-6.53,0
159,0.03,1.04,-0.16,-0.98,-2.71,-6.53,0
162,0.03,1.04,-0.16,-1.05,-2.95,-6.82,0
165,0.03,1.04,-0.16,-1.05,-2.95,-6.82,0
168,0.03,1.04,-0.16,-1.05,-2.95,-6.82,0
170,0.03,1.04,-0.16,-1.05,-2.95,-6.82,0
173,0.04,1.04,-0.16,-1.05,-3.12,-6.95,0
186,0.04,1.04,-0.16,-0.94,-2.90,-7.02,0
189,0.04,1.04,-0.16,-0.94,-2.90,-7.02,0
192,0.04,1.04,-0.16,-0.73,-2.37,-7.17,0
194,0.04,1.04,-0.16,-0.73,-2.37,-7.17,0
197,0.04,1.04,-0.16,-0.73,-2.37,-7.17,0
200,0.04,1.04,-0.16,-0.73,-2.37,-7.17,0
203,0.04,1.04,-0.16,-0.49,-1.59,-7.18,0
205,0.04,1.04,-0.16,-0.49,-1.59,-7.18,0
208,0.04,1.04,-0.16,-0.49,-1.59,-7.18,0
211,0.04,1.04,-0.16,-0.24,-0.97,-7.35,0
214,0.05,1.04,-0.15,-0.24,-0.97,-7.35,0
216,0.05,1.04,-0.15,-0.24,-0.97,-7.35,0
229,0.05,1.04,-0.15,-0.43,-0.44,-7.57,0
232,0.06,1.04,-0.15,-0.63,0.15,-7.79,0
235,0.06,1.04,-0.15,-0.63,0.15,-7.79,0
238,0.06,1.04,-0.15,-0.63,0.15,-7.79,0
240,0.06,1.04,-0.15,-0.63,0.15,-7.79,0
243,0.07,1.04,-0.15,-0.81,0.98,-7.95,0
246,0.07,1.04,-0.15,-0.81,0.98,-7.95,0
249,0.07,1.04,-0.15,-0.81,0.98,-7.95,0
251,0.07,1.04,-0.15,-0.88,2.21,-7.96,0
254,0.07,1.05,-0.16,-0.88,2.21,-7.96,0
257,0.07,1.05,-0.16,-0.88,2.21,-7.96,0
260,0.07,1.05,-0.16,-0.88,2.21,-7.96,0
262,0.07,1.04,-0.16,-0.69,3.33,-7.71,0
275,0.07,1.04,-0.16,-0.34,4.43,-7.51,0
278,0.07,1.04,-0.16,-0.34,4.43,-7.51,0
281,0.07,1.04,-0.16,-0.15,5.30,-7.18,0
283,0.06,1.03,-0.16,-0.15,5.30,-7.18,0
286,0.06,1.03,-0.16,-0.15,5.30,-7.18,0
289,0.06,1.03,-0.16,-0.15,5.30,-7.18,0
292,0.05,1.04,-0.16,-0.10,5.64,-6.95,0
294,0.05,1.04,-0.16,-0.10,5.64,-6.95,0
297,0.05,1.04,-0.16,-0.10,5.64,-6.95,0
300,0.05,1.04,-0.16,-0.10,5.64,-6.95,0
303,0.04,1.04,-0.15,-0.04,5.74,-6.83,0
305,0.04,1.04,-0.15,-0.04,5.74,-6.83,0
308,0.04,1.04,-0.15,-0.04,5.74,-6.83,0
321,0.04,1.04,-0.15,-0.68,5.25,-7.44,0
324,0.04,1.05,-0.15,-0.68,5.25,-7.44,0
327,0.04,1.05,-0.15,-0.68,5.25,-7.44,0
329,0.04,1.05,-0.15,-0.68,5.25,-7.44,0
332,0.04,1.04,-0.15,-1.15,4.82,-7.73,0
335,0.04,1.04,-0.15,-1.15,4.82,-7.73,0
338,0.04,1.04,-0.15,-1.15,4.82,-7.73,0
340,0.04,1.04,-0.15,-1.15,4.82,-7.73,0
343,0.04,1.04,-0.16,-1.53,4.18,-7.78,0
346,0.04,1.04,-0.16,-1.53,4.18,-7.78,0
349,0.04,1.04,-0.16,-1.53,4.18,-7.78,0
351,0.04,1.04,-0.16,-1.75,3.96,-7.55,0
354,0.05,1.04,-0.16,-1.75,3.96,-7.55,0
357,0.05,1.04,-0.16,-1.75,3.96,-7.55,0
370,0.04,1.04,-0.17,-1.52,4.29,-7.38,0
372,0.04,1.04,-0.17,-1.27,4.92,-7.20,0
375,0.04,1.04,-0.17,-1.27,4.92,-7.20,0
378,0.04,1.04,-0.17,-1.27,4.92,-7.20,0
381,0.04,1.04,-0.17,-1.00,5.24,-6.85,0
383,0.04,1.04,-0.16,-1.00,5.24,-6.85,0
386,0.04,1.04,-0.16,-1.00,5.24,-6.85,0
389,0.04,1.04,-0.16,-1.00,5.24,-6.85,0
392,0.03,1.04,-0.17,-0.84,5.29,-6.53,0
394,0.03,1.04,-0.17,-0.84,5.29,-6.53,0
397,0.03,1.04,-0.17,-0.84,5.29,-6.53,0
400,0.03,1.04,-0.17,-0.84,5.29,-6.53,0
403,0.03,1.04,-0.17,-0.86,5.15,-6.39,0
416,0.02,1.04,-0.18,-0.88,5.32,-6.21,0
418,0.02,1.04,-0.18,-0.88,5.32,-6.21,0
421,0.02,1.04,-0.18,-0.32,6.05,-6.08,0
424,0.02,1.04,-0.19,-0.32,6.05,-6.08,0
427,0.02,1.04,-0.19,-0.32,6.05,-6.08,0
429,0.02,1.04,-0.19,-0.32,6.05,-6.08,0
432,0.02,1.04,-0.19,0.66,7.53,-6.02,0
435,0.02,1.04,-0.19,0.66,7.53,-6.02,0
437,0.02,1.04,-0.19,0.66,7.53,-6.02,0
440,0.02,1.04,-0.19,0.66,7.53,-6.02,0
443,0.02,1.04,-0.18,1.76,9.20,-6.06,0
446,0.02,1.04,-0.18,1.76,9.20,-6.06,0
448,0.02,1.04,-0.18,1.76,9.20,-6.06,0
451,0.02,1.04,-0.18,2.42,10.23,-6.27,0
464,0.04,1.04,-0.17,2.31,11.06,-6.40,0
467,0.04,1.04,-0.17,2.31,11.06,-6.40,0
469,0.04,1.04,-0.17,2.31,11.06,-6.40,0
472,0.04,1.04,-0.18,1.89,11.98,-6.10,0
475,0.04,1.04,-0.18,1.89,11.98,-6.10,0
478,0.04,1.04,-0.18,1.89,11.98,-6.10,0
480,0.04,1.04,-0.18,1.89,11.98,-6.10,0
483,0.03,1.05,-0.18,1.70,12.13,-5.63,0
486,0.03,1.05,-0.18,1.70,12.13,-5.63,0
489,0.03,1.05,-0.18,1.70,12.13,-5.63,0
491,0.03,1.05,-0.18,1.77,11.07,-5.53,0
494,0.03,1.04,-0.17,1.77,11.07,-5.53,0
497,0.03,1.04,-0.17,1.77,11.07,-5.53,0
510,0.04,1.04,-0.16,1.73,9.79,-5.62,0
512,0.04,1.03,-0.15,1.37,8.70,-5.65,0
515,0.04,1.03,-0.15,1.37,8.70,-5.65,0
518,0.04,1.03,-0.15,1.37,8.70,-5.65,0
521,0.04,1.03,-0.15,1.37,8.70,-5.65,0
523,0.04,1.03,-0.15,0.85,8.27,-5.47,0
526,0.04,1.03,-0.15,0.85,8.27,-5.47,0
529,0.04,1.03,-0.15,0.85,8.27,-5.47,0
531,0.04,1.03,-0.15,0.38,8.40,-5.23,0
534,0.04,1.04,-0.15,0.38,8.40,-5.23,0
537,0.04,1.04,-0.15,0.38,8.40,-5.23,0
540,0.04,1.04,-0.15,0.38,8.40,-5.23,0
542,0.04,1.04,-0.16,0.30,8.12,-5.15,0
545,0.04,1.04,-0.16,0.30,8.12,-5.15,0
552,0.04,1.04,-0.16,0.34,7.31,-4.95,0
562,0.04,1.04,-0.16,0.05,6.17,-4.71,0
572,0.04,1.04,-0.16,-0.48,5.13,-4.48,0
582,0.04,1.04,-0.15,-1.14,4.89,-3.93,0
592,0.05,1.05,-0.15,-1.42,5.19,-3.33,0
602,0.05,1.05,-0.15,-1.15,5.04,-2.68,0
612,0.05,1.05,-0.14,-0.99,4.27,-2.13,0
622,0.04,1.04,-0.13,-1.42,3.31,-2.05,0
632,0.04,1.03,-0.12,-2.45,2.18,-2.02,0
642,0.04,1.03,-0.12,-3.71,1.03,-2.09,0
652,0.04,1.03,-0.13,-4.68,0.50,-2.15,0
662,0.05,1.04,-0.14,-5.20,0.79,-2.25,0
672,0.05,1.05,-0.15,-5.06,1.72,-2.07,0
682,0.05,1.05,-0.15,-4.62,2.53,-2.00,0
692,0.06,1.04,-0.15,-4.11,3.38,-2.11,0
702,0.05,1.03,-0.15,-3.60,4.00,-2.15,0
712,0.05,1.03,-0.15,-3.11,4.08,-2.08,0
722,0.05,1.02,-0.15,-2.60,3.67,-1.89,0
732,0.04,1.02,-0.15,-2.06,2.76,-1.91,0
742,0.03,1.02,-0.16,-1.93,1.58,-1.98,0
752,0.03,1.03,-0.16,-1.94,0.53,-1.95,0
762,0.02,1.04,-0.17,-1.93,-0.68,-2.36,0
772,0.02,1.05,-0.17,-1.79,-1.27,-2.99,0
782,0.02,1.04,-0.17,-1.56,-0.57,-3.53,0
792,0.02,1.03,-0.17,-1.30,0.78,-4.10,0
802,0.02,1.03,-0.16,-0.78,2.05,-4.48,0
812,0.03,1.04,-0.16,0.08,2.66,-4.46,0
822,0.04,1.04,-0.15,1.09,2.52,-4.05,0
832,0.04,1.04,-0.14,1.93,1.81,-3.36,0
842,0.04,1.04,-0.14,2.19,0.38,-2.91,0
852,0.03,1.03,-0.13,1.96,-1.45,-2.57,0
862,0.03,1.03,-0.13,1.37,-2.95,-2.38,0
872,0.02,1.03,-0.13,0.74,-3.81,-2.47,0
882,0.01,1.03,-0.14,0.37,-4.61,-3.00,0
892,0.02,1.04,-0.15,0.40,-5.11,-3.65,0
902,0.02,1.06,-0.16,0.88,-5.72,-4.38,0
912,0.02,1.05,-0.18,1.66,-6.77,-4.79,0
922,0.02,1.02,-0.19,2.44,-6.73,-4.78,0
932,0.03,1.02,-0.19,2.27,-8.40,-4.57,0
942,0.03,1.01,-0.20,4.38,-5.63,-5.31,0
